Avg Year,Type,Avg Deaths,,0
2007.666667,Interstate,33355.66667,,
2004.666667,Interstate,51213,,
2002.333333,Interstate,63806,,
2010,Interstate,65430,,
2004,Interstate,42627.66667,,
2005,Interstate,36986.33333,,
1998.333333,Interstate,39555.33333,,
2000,Interstate,32517,,
2011.666667,Interstate,48581,,
2002.666667,Interstate,65973.33333,,
2004.333333,Interstate,42586,,
2004,Interstate,40690,,
2007,Interstate,91156.66667,,
2005.666667,Interstate,43982.66667,,
2008.666667,Interstate,44128,,
2004,Interstate,94528.66667,,
2022,Interstate,145412.3333,,
2008,Interstate,22614,,
2014,Interstate,52245,,
2004.666667,Interstate,52424.66667,,
1999,Interstate,33658,,
2001.333333,Interstate,64937.33333,,
2009,Interstate,40968.33333,,
1998.666667,Interstate,38764.33333,,
2003.666667,Interstate,48745.33333,,
2018.333333,Interstate,129329.6667,,
1994.666667,Interstate,39406.33333,,
2002.333333,Interstate,344203.3333,,
1994.666667,Interstate,48768.33333,,
2014.666667,Interstate,70437.33333,,
1994.333333,Interstate,35327,,
1998.333333,Interstate,283073.3333,,
1997,Interstate,61157.33333,,
2016.666667,Interstate,82939.66667,,
2008.333333,Interstate,36175.33333,,
2001.333333,Interstate,29394,,
2013.333333,Interstate,47875.66667,,
2007.333333,Interstate,41524.66667,,
2003,Interstate,27338,,
1998.333333,Interstate,35294.33333,,
2011,Interstate,33133,,
2005.666667,Interstate,54555.33333,,
2005.333333,Interstate,47876.66667,,
2004,Interstate,276479.6667,,
2007.333333,Interstate,40331,,
2008.333333,Interstate,89810.66667,,
2015,Interstate,135158,,
2003.333333,Interstate,46288.33333,,
2000.666667,Interstate,74804.66667,,
1993,Interstate,50297,,
2005.666667,Interstate,64773.66667,,
2007.666667,Interstate,283687.6667,,
2007.666667,Interstate,19066,,
2009.666667,Interstate,40535,,
2016,Interstate,61028.33333,,
1995.666667,Interstate,283010.3333,,
2000.333333,Interstate,25725.66667,,
2003,Interstate,30210,,
2009.333333,Interstate,78357.33333,,
2006.333333,Interstate,50197,,
2005.333333,Interstate,23095,,
2000.333333,Interstate,70578.66667,,
2017.666667,Interstate,115065,,
1998.333333,Interstate,31618,,
2002.666667,Interstate,293264.6667,,
2012,Interstate,100202.6667,,
2009,Interstate,82792.33333,,
2002.666667,Interstate,53945,,
2004,Interstate,58697.66667,,
2012.333333,Interstate,61569,,
2009.666667,Interstate,33913.33333,,
2005.666667,Interstate,290405.3333,,
2009,Interstate,74511.66667,,
2012.333333,Interstate,32145,,
2007.333333,Interstate,83055.33333,,
2000.333333,Interstate,70578.66667,,
2007,Interstate,38440.33333,,
2005,Interstate,28422,,
2009.666667,Interstate,42423.33333,,
2002.666667,Interstate,55898,,
2009.666667,Interstate,79615.33333,,
1996.333333,Intrastate,39622.66667,,
2011.666667,Interstate,53372,,
2013.666667,Interstate,71779.33333,,
2002.333333,Interstate,26208.66667,,
1999.333333,Interstate,76119,,
2007,Interstate,28076.66667,,
2000.666667,Interstate,36356,,
1999.666667,Interstate,37022.33333,,
2009.666667,Interstate,56744.66667,,
2016,Interstate,45440.33333,,
2007.333333,Interstate,66214,,
2006.666667,Interstate,86028,,
2019,Interstate,65097.33333,,
2005,Interstate,22967,,
1992,Interstate,58177,,
2012,Interstate,103484.6667,,
2008,Interstate,57593.66667,,
2009.333333,Interstate,78287,,
2001.333333,Interstate,18646,,
2010,Interstate,39309,,
2000.666667,Interstate,57257.33333,,
2002.666667,Interstate,25321,,
1998.666667,Interstate,36044,,
2015.666667,Interstate,66330.66667,,
2002,Interstate,28588.33333,,
2009,Interstate,44967.66667,,
2001.666667,Interstate,23624.33333,,
2000.666667,Intrastate,59981.66667,,
2011.333333,Interstate,51995,,
2011.333333,Interstate,67210.33333,,
2006.666667,Interstate,31029.66667,,
2000,Interstate,71223,,
1995.333333,Interstate,38943.33333,,
2004.333333,Interstate,51141.33333,,
2008,Interstate,63009.33333,,
2003.666667,Interstate,57955.66667,,
2014.333333,Interstate,48107,,
2013.666667,Interstate,101880.6667,,
2002,Interstate,22081,,
2005.333333,Interstate,51392,,
2008.333333,Interstate,45147,,
2011.666667,Interstate,39327.33333,,
2017.333333,Interstate,52925,,
2012.666667,Interstate,59148,,
2005.333333,Interstate,25489.66667,,
2000,Interstate,33336.33333,,
2010,Interstate,48561.66667,,
2011,Interstate,45210,,
2014.333333,Interstate,60984.66667,,
1999,Interstate,40358.66667,,
2009.666667,Interstate,40480.33333,,
2012.333333,Interstate,57131.33333,,
2008,Interstate,40287.33333,,
2007.333333,Interstate,89701.66667,,
2011.666667,Interstate,38692.33333,,
2009,Interstate,58976.66667,,
1996.333333,Interstate,34240.33333,,
1991,Interstate,49237.33333,,
2011.666667,Interstate,59176.66667,,
2011,Interstate,105844,,
2013,Interstate,81000.66667,,
1996,Interstate,47454,,
2008,Interstate,62408.33333,,
2003,Interstate,17982.66667,,
2009.666667,Interstate,87267,,
2005.666667,Interstate,283831.6667,,
1997,Intrastate,41976.66667,,
2006,Interstate,47134.66667,,
2015.333333,Interstate,67392.66667,,
1999.666667,Interstate,42344.66667,,
2002.666667,Interstate,25819,,
2003.666667,Interstate,48691,,
2002.333333,Interstate,47251,,
2008.666667,Interstate,104010.3333,,
2010.333333,Interstate,31213.33333,,
2011,Interstate,30199,,
2007.333333,Interstate,48326,,
2014.666667,Interstate,42031.66667,,
2015,Interstate,91332,,
